Civ_Draft,draft_host,draft_guest,Preset,player,executingPlayer,actionType,Civ,isRandomlyChosen,offset,action,PickNo,FirstPick,GlobalBan,Picker
biGJQ,Foxus.Darkius,Somerius,Hidden Cup 5 Qualifier Bo3,HOST,HOST,pick,Dravidians,FALSE,185468,NA,5,0,0,Dark
biGJQ,Foxus.Darkius,Somerius,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,pick,Malay,FALSE,208198,NA,6,0,0,Somero
biGJQ,Foxus.Darkius,Somerius,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,pick,Huns,FALSE,239041,NA,7,0,0,Somero
biGJQ,Foxus.Darkius,Somerius,Hidden Cup 5 Qualifier Bo3,HOST,HOST,pick,Franks,FALSE,266851,NA,8,0,0,Dark
BmiHK,mb,TheMax,Hidden Cup 5 Qualifier Bo5,HOST,HOST,ban,Cumans,FALSE,11782,NA,1,0,1,MbL
BmiHK,mb,TheMax,Hidden Cup 5 Qualifier Bo5,GUEST,GUEST,ban,Japanese,FALSE,18812,NA,2,0,1,TheMax
BmiHK,mb,TheMax,Hidden Cup 5 Qualifier Bo5,GUEST,GUEST,ban,Koreans,FALSE,25000,NA,3,0,1,TheMax
BmiHK,mb,TheMax,Hidden Cup 5 Qualifier Bo5,HOST,HOST,ban,Byzantines,FALSE,30349,NA,4,0,1,MbL
BmiHK,mb,TheMax,Hidden Cup 5 Qualifier Bo5,HOST,HOST,ban,Spanish,FALSE,37009,NA,5,0,1,MbL
BmiHK,mb,TheMax,Hidden Cup 5 Qualifier Bo5,GUEST,GUEST,ban,Lithuanians,FALSE,49833,NA,6,0,1,TheMax
BmiHK,mb,TheMax,Hidden Cup 5 Qualifier Bo5,GUEST,GUEST,pick,Persians,FALSE,53830,NA,1,1,0,TheMax
BmiHK,mb,TheMax,Hidden Cup 5 Qualifier Bo5,HOST,HOST,pick,Persians,FALSE,55766,NA,2,1,0,MbL
